block,value
1.30260005E7,69.3111335053045
1.30260015E7,31.881220911580538
1.30260025E7,35.851719387726035
1.30260035E7,32.34022067644567
1.30260045E7,30.524395819230975
1.30260055E7,34.2646954235423
1.30260065E7,31.541743722688306
1.30260075E7,32.1125545859318
1.30260085E7,28.951793001451644
1.30260095E7,32.55635367181345
1.30260105E7,36.62418399973702
1.30260115E7,35.86371703534824
1.30260125E7,nan
1.30260135E7,28.221918891825673
1.30260145E7,31.71434328257701
1.30260155E7,31.612115603149366
1.30260165E7,31.128597821822975
1.30260175E7,35.00308514158236
1.30260185E7,31.156983320987052
1.30260195E7,32.01162626231489
1.30260205E7,28.506199798798903
1.30260215E7,27.837828948158453
1.30260225E7,31.246455782375936
1.30260235E7,29.02064885347712
1.30260245E7,nan
1.30260255E7,22.556530544511034
1.30260265E7,25.348613106671486
1.30260275E7,28.513963087523333
1.30260285E7,32.0831223547266
1.30260295E7,29.58304678331856
1.30260305E7,32.38772550883169
1.30260315E7,31.16356061913105
1.30260325E7,28.66424418877122
1.30260335E7,32.237741600739724
1.30260345E7,30.618366072323525
1.30260355E7,34.198841140700495
1.30260365E7,31.188569905993667
1.30260375E7,29.91080940591949
1.30260385E7,31.90557320250078
1.30260395E7,35.67224414132347
1.30260405E7,32.13746434751748
1.30260415E7,32.33275617887117
1.30260425E7,35.302564353822795
1.30260435E7,33.294175400331085
1.30260445E7,35.22324976981703
1.30260455E7,34.159023500471406
1.30260465E7,33.47956792604471
1.30260475E7,31.61746097838084
1.30260485E7,32.716219287921994
1.30260495E7,35.5072216894299
1.30260505E7,33.696877434347364
1.30260515E7,34.23953907177786
1.30260525E7,37.316508217129964
1.30260535E7,33.58686106760911
1.30260545E7,35.61311601330762
1.30260555E7,35.514017375075454
1.30260565E7,31.52188024436206
1.30260575E7,29.99218422524537
1.30260585E7,33.70798769448686
1.30260595E7,35.45936191331529
1.30260605E7,31.332251695440902
1.30260615E7,35.2028258020942
1.30260625E7,30.940940578007375
1.30260635E7,34.79462592941088
1.30260645E7,30.788828584320367
1.30260655E7,32.477147456355944
1.30260665E7,30.709331257739073
1.30260675E7,30.38719010542354
1.30260685E7,26.89915389414827
1.30260695E7,30.24869697505642
1.30260705E7,27.26260751666345
1.30260715E7,30.64718461567753
1.30260725E7,33.0462005523691
1.30260735E7,32.024608753550844
1.30260745E7,31.419092714701627
1.30260755E7,31.666092475856924
1.30260765E7,28.353659710573577
1.30260775E7,31.908317023939833
1.30260785E7,29.5876076050367
1.30260795E7,30.85916142198494
1.30260805E7,27.617424558626237
1.30260815E7,31.035835286836253
1.30260825E7,27.77018916153821
1.30260835E7,27.94170866191565
1.30260845E7,31.43671203078103
1.30260855E7,29.12574359509474
1.30260865E7,30.006232121842725
