block,n,f,b,g,d
1.3026033E7,313.0,56.17204148934408,37.97119704906708,0.41,0.125
1.3026034E7,266.0,53.55428793467176,36.83206113759507,0.38,0.125
1.3026035E7,325.0,41.97433152445671,41.436068779794454,1.0,0.125
1.3026036E7,317.0,63.497989980828095,39.46785551275422,0.31,0.125
1.3026037E7,272.0,53.25551416221686,38.28381984737159,0.38,0.125
1.3026038E7,293.0,56.292057106119415,36.75246705347672,0.34,0.125
1.3026039E7,309.0,43.194102749547554,41.34652543516131,1.0,0.125
1.302604E7,326.0,61.86736575597813,40.10612967210647,0.38,0.125
1.3026041E7,294.0,56.664631884991564,38.70241513358274,0.36,0.125
1.3026042E7,307.0,63.23031249639703,37.83161079307713,0.41,0.125
1.3026043E7,306.0,55.72571658927156,35.750872199457895,0.28,0.125
1.3026044E7,306.0,47.41289143861988,40.21973122439013,1.0,0.125
1.3026045E7,326.0,57.30334040221696,38.610941975414526,0.34,0.125
1.3026046E7,303.0,57.98910922006868,37.356086361213556,0.37,0.125
1.3026047E7,284.0,51.54600133256255,38.19659830434086,0.59,0.125
1.3026048E7,305.0,68.12854661648934,35.61832791879785,0.23,0.125
1.3026049E7,306.0,42.21710579784609,40.07061890864758,1.0,0.125
1.302605E7,293.0,54.28134826625167,38.0670879632152,0.3,0.125
1.3026051E7,315.0,54.766308990690916,36.0685658451464,0.29,0.125
1.3026052E7,276.0,43.369747022315195,40.5771365757897,1.0,0.125
1.3026053E7,272.0,53.983016501660096,39.35982247851601,0.38,0.125
1.3026054E7,274.0,53.32161884948875,38.179027804160526,0.38,0.125
1.3026055E7,289.0,54.65635304060263,36.93820940052531,0.37,0.125
1.3026056E7,294.0,41.61196107907185,41.55548557559097,1.0,0.125
1.3026057E7,324.0,57.460136789579416,39.89326615256733,0.34,0.125
1.3026058E7,333.0,55.13382403538338,37.79886967955754,0.29,0.125
1.3026059E7,346.0,59.1203888760387,35.81442902138077,0.29,0.125
1.302606E7,313.0,44.07467884224976,40.29123264905336,1.0,0.125
1.3026061E7,315.0,53.121743011929105,39.28395183282703,0.4,0.125
1.3026062E7,300.0,50.708766974843385,37.61438387993188,0.33,0.125
1.3026063E7,293.0,64.07546852004205,36.76806024263341,0.41,0.125
1.3026064E7,288.0,44.38317625520054,41.364067772962585,1.0,0.125
1.3026065E7,313.0,51.048790335704574,40.019735570341304,0.37,0.125
1.3026066E7,305.0,53.113189163211814,38.41894614752765,0.34,0.125
1.3026067E7,294.0,52.33329309843354,37.266377763101815,0.38,0.125
1.3026068E7,284.0,58.905781443900175,35.21672698613122,0.28,0.125
1.3026069E7,324.0,46.54156478715468,39.61881785939762,1.0,0.125
