block,n,f,b,g,d
1.3025635E7,303.0,77.01474177383386,43.38079743034983,0.33,0.0625
1.3025636E7,273.0,66.75923543903838,42.35050349137902,0.31,0.0625
1.3025637E7,330.0,50.571132767547844,44.997409959590215,1.0,0.0625
1.3025638E7,303.0,63.87029890532952,44.20995528529739,0.36,0.0625
1.3025639E7,294.0,75.03407911828633,43.325756179591444,0.34,0.0625
1.302564E7,308.0,69.40166594890121,42.45924105599961,0.34,0.0625
1.3025641E7,299.0,48.812008889957724,45.11294362199959,1.0,0.0625
1.3025642E7,293.0,61.81029374156241,43.759555313339604,0.26,0.0625
1.3025643E7,338.0,61.31661778460337,42.50146809808109,0.27,0.0625
1.3025644E7,305.0,48.99885565170367,45.15780985421116,1.0,0.0625
1.3025645E7,302.0,57.2761843138336,44.08531187017364,0.31,0.0625
1.3025646E7,266.0,59.31478625663505,43.47913883195875,0.39,0.0625
1.3025647E7,311.0,63.52982813511525,42.555207131779625,0.33,0.0625
1.3025648E7,308.0,48.49190737705819,45.21490757751585,1.0,0.0625
1.3025649E7,331.0,65.83524815382748,44.25409079149364,0.33,0.0625
1.302565E7,316.0,64.5271543172581,43.147738521706295,0.3,0.0625
1.3025651E7,294.0,51.84752973028591,43.74101992637976,0.61,0.0625
1.3025652E7,307.0,61.04785844540016,43.03022835257609,0.37,0.0625
1.3025653E7,261.0,51.90828861918843,44.10598406139049,0.7,0.0625
1.3025654E7,322.0,66.79828940142596,43.33412934031615,0.36,0.0625
1.3025655E7,320.0,57.41762304090551,41.871602475080486,0.23,0.0625
1.3025656E7,312.0,46.666822906474906,44.48857762977302,1.0,0.0625
1.3025657E7,300.0,61.553658698352365,42.87586669069375,0.21,0.0625
1.3025658E7,303.0,68.89586345541777,41.964754523516504,0.33,0.0625
1.3025659E7,306.0,48.499966697822195,44.587551681236285,1.0,0.0625
1.302566E7,299.0,63.219218819842,44.14167616442392,0.42,0.0625
1.3025661E7,302.0,68.67440909041927,42.762248784285674,0.25,0.0625
1.3025662E7,294.0,103.94402641402378,42.12081505252139,0.38,0.0625
1.3025663E7,290.0,50.17111795181223,44.75336599330397,1.0,0.0625
1.3025664E7,310.0,59.27529251444604,44.082065503404415,0.38,0.0625
1.3025665E7,280.0,62.98025907653583,43.14532161145707,0.33,0.0625
1.3025666E7,311.0,62.466855422025645,42.39027848325657,0.36,0.0625
1.3025667E7,309.0,62.69146095128559,43.18509620481763,0.65,0.0625
1.3025668E7,297.0,61.1785976482107,41.99750605918515,0.28,0.0625
1.3025669E7,314.0,52.90006555779413,42.31248735462904,0.56,0.0625
1.302567E7,311.0,63.09856482882587,41.78358126269618,0.4,0.0625
1.3025671E7,326.0,60.4626691622172,41.5746633563827,0.46,0.0625
1.3025672E7,295.0,57.67384924429226,41.31482171040531,0.45,0.0625
1.3025673E7,315.0,63.997803722149044,40.281951167645175,0.3,0.0625
1.3025674E7,296.0,47.973477667419445,42.799573115623,1.0,0.0625
1.3025675E7,331.0,74.38007024406207,42.0505805860996,0.36,0.0625
1.3025676E7,322.0,56.75359359059038,41.6300747802386,0.42,0.0625
1.3025677E7,293.0,62.11572408571926,40.90154847158443,0.36,0.0625
1.3025678E7,316.0,63.28855741693483,40.74816766481598,0.47,0.0625
1.3025679E7,274.0,64.46884225097114,40.39162119774884,0.43,0.0625
1.302568E7,306.0,52.15856276372535,40.08868403876573,0.44,0.0625
1.3025681E7,307.0,46.63442267170393,42.093118240704015,0.9,0.0625
1.3025682E7,302.0,56.640080610100085,41.303872273690814,0.35,0.0625
1.3025683E7,291.0,58.750497729841534,40.32290530719065,0.31,0.0625
1.3025684E7,317.0,66.38963851304341,39.56685083268083,0.35,0.0625
1.3025685E7,277.0,45.79320330947344,42.03977900972338,1.0,0.0625
1.3025686E7,290.0,104.69315805709932,41.304082877053226,0.36,0.0625
1.3025687E7,297.0,60.87690890508246,40.42637111591584,0.33,0.0625
1.3025688E7,272.0,57.035626326388176,39.466244801912836,0.31,0.0625
1.3025689E7,272.0,56.67739045723275,38.62758709987219,0.33,0.0625
1.302569E7,255.0,53.25364683408637,39.44842332574447,0.67,0.0625
1.3025691E7,319.0,58.31287609406211,39.004628563329845,0.41,0.0625
1.3025692E7,294.0,53.53772653222053,38.4195591348799,0.38,0.0625
1.3025693E7,301.0,54.13039738387127,37.4590701565079,0.3,0.0625
1.3025694E7,318.0,44.45231904550318,39.80026204128964,1.0,0.0625
1.3025695E7,324.0,51.57190609683631,38.85500581780901,0.31,0.0625
1.3025696E7,283.0,54.38310006198263,38.6121620314477,0.45,0.0625
1.3025697E7,309.0,56.45150270040298,38.322570816211844,0.44,0.0625
1.3025698E7,290.0,55.16168635306806,38.130957962130786,0.46,0.0625
1.3025699E7,294.0,56.75449980499142,37.701984685056814,0.41,0.0625
1.30257E7,302.0,57.08065614895303,36.75943506793039,0.3,0.0625
1.3025701E7,262.0,44.197922669174005,39.05689975967604,1.0,0.0625
1.3025702E7,262.0,67.72023653103788,38.471046263280904,0.38,0.0625
1.3025703E7,301.0,53.96685692335916,37.84589176150259,0.37,0.0625
1.3025704E7,311.0,51.34366755287217,36.66320764395564,0.25,0.0625
1.3025705E7,289.0,42.70062109677151,38.95465812170286,1.0,0.0625
1.3025706E7,356.0,58.37997627401917,37.88340502335603,0.28,0.0625
1.3025707E7,304.0,57.48903166115914,36.746902872655355,0.26,0.0625
1.3025708E7,294.0,54.6537391371713,39.043584302196315,1.0,0.0625
1.3025709E7,306.0,58.018465160854745,38.262712616152385,0.34,0.0625
1.302571E7,286.0,58.03281588068693,37.449629973059146,0.33,0.0625
1.3025711E7,265.0,47.5646643999492,37.91775034772238,0.6,0.0625
1.3025712E7,291.0,54.41068448697897,36.68542346142141,0.24,0.0625
1.3025713E7,295.0,42.05908896454823,38.97826242776024,1.0,0.0625
1.3025714E7,289.0,56.01608232104533,37.80891455492743,0.26,0.0625
1.3025715E7,317.0,54.4018621410821,37.43082540937816,0.42,0.0625
1.3025716E7,288.0,47.13768888859911,39.583097870417404,0.96,0.0625
1.3025717E7,298.0,56.75411233777003,38.64299929599499,0.31,0.0625
1.3025718E7,316.0,58.66665927452911,37.821835560955094,0.33,0.0625
1.3025719E7,292.0,58.470645495900136,38.10549932766226,0.56,0.0625
1.302572E7,309.0,64.96256516163204,37.91497183102395,0.46,0.0625
1.3025721E7,281.0,56.35176329679174,37.44103468313615,0.4,0.0625
1.3025722E7,307.0,43.046878943632755,39.781099350832164,1.0,0.0625
1.3025723E7,318.0,54.96787983996588,39.23410923475822,0.39,0.0625
1.3025724E7,321.0,55.861910587358686,38.54751232314995,0.36,0.0625
1.3025725E7,329.0,58.813125808442706,38.06566841911058,0.4,0.0625
1.3025726E7,308.0,45.163943481744425,39.96895184006611,0.9,0.0625
1.3025727E7,286.0,54.48780004969536,39.26949518286496,0.36,0.0625
1.3025728E7,311.0,57.94756883413167,38.48410527920766,0.34,0.0625
1.3025729E7,294.0,43.30197799950417,40.88936185915814,1.0,0.0625
1.302573E7,295.0,75.10652276332131,40.327133133594714,0.39,0.0625
1.3025731E7,272.0,53.766714651240925,39.41977263808884,0.32,0.0625
1.3025732E7,278.0,45.65821786982747,41.88350842796939,1.0,0.0625
1.3025733E7,311.0,57.35133333130103,40.67935756066527,0.27,0.0625
1.3025734E7,289.0,50.071526743939145,43.221817408206846,1.0,0.0625
1.3025735E7,301.0,51.15046790256634,45.92318099621977,1.0,0.0625
1.3025736E7,310.0,56.296450601946525,45.980584972465046,0.51,0.0625
1.3025737E7,331.0,85.36041693753207,48.85437153324411,1.0,0.0625
1.3025738E7,285.0,171.08422154617176,51.90776975407187,1.0,0.0625
1.3025739E7,334.0,591.5183087975973,55.15200536370136,1.0,0.0625
1.302574E7,309.0,680.0929847241288,58.5990056989327,1.0,0.0625
1.3025741E7,296.0,693.882658422682,62.261443555115996,1.0,0.0625
1.3025742E7,302.0,711.1444983736625,66.15278377731074,1.0,0.0625
1.3025743E7,320.0,741.0712495082905,70.28733276339267,1.0,0.0625
1.3025744E7,307.0,744.4181324700394,74.68029106110471,1.0,0.0625
1.3025745E7,312.0,717.2186647004384,79.34780925242376,1.0,0.0625
1.3025746E7,308.0,710.3300770677992,84.30704733070024,1.0,0.0625
1.3025747E7,297.0,704.9448972717181,89.57623778886901,1.0,0.0625
1.3025748E7,302.0,738.6408957799973,95.17475265067333,1.0,0.0625
1.3025749E7,280.0,749.5228216767135,101.12317469134041,1.0,0.0625
1.302575E7,279.0,748.5460191976946,107.44337310954919,1.0,0.0625
1.3025751E7,336.0,747.6006567545174,114.15858392889601,1.0,0.0625
1.3025752E7,336.0,738.8117404245619,121.293495424452,1.0,0.0625
1.3025753E7,308.0,729.9300337393454,128.87433888848025,1.0,0.0625
1.3025754E7,303.0,727.454085540565,136.92898506901028,1.0,0.0625
1.3025755E7,293.0,779.4405480315764,145.48704663582342,1.0,0.0625
1.3025756E7,339.0,730.5721946222293,154.57998705056238,1.0,0.0625
1.3025757E7,295.0,751.5252983618994,164.24123624122254,1.0,0.0625
1.3025758E7,311.0,825.9234078677645,174.50631350629894,1.0,0.0625
1.3025759E7,298.0,773.8934483166887,185.4129581004426,1.0,0.0625
1.302576E7,307.0,770.2688190516473,197.00126798172028,1.0,0.0625
1.3025761E7,312.0,749.7978140557519,209.31384723057778,1.0,0.0625
1.3025762E7,309.0,801.3832344085641,222.39596268248889,1.0,0.0625
1.3025763E7,319.0,763.4485900568357,236.29571035014445,1.0,0.0625
1.3025764E7,284.0,786.9849890681676,251.06419224702847,1.0,0.0625
1.3025765E7,297.0,721.2446237640459,266.75570426246776,1.0,0.0625
1.3025766E7,319.0,725.7651735047076,283.427935778872,1.0,0.0625
1.3025767E7,316.0,748.6603268633376,301.1421817650515,1.0,0.0625
1.3025768E7,322.0,740.9138353280074,319.9635681253672,1.0,0.0625
1.3025769E7,292.0,834.5390767501403,339.9612911332027,1.0,0.0625
1.302577E7,321.0,782.0221840555142,361.2088718290278,1.0,0.0625
1.3025771E7,307.0,822.050333223328,383.78442631834207,1.0,0.0625
1.3025772E7,293.0,737.5246090049645,407.77095296323847,1.0,0.0625
1.3025773E7,307.0,713.3385037459578,433.2566375234409,1.0,0.0625
1.3025774E7,289.0,736.5714046202093,460.33517736865593,1.0,0.0625
1.3025775E7,319.0,764.6349433932794,489.10612595419695,1.0,0.0625
1.3025776E7,324.0,842.9621973199196,519.6752588263342,1.0,0.0625
1.3025777E7,279.0,702.7121677970581,552.1549625029801,1.0,0.0625
1.3025778E7,291.0,686.4898700551562,586.6646476594163,1.0,0.0625
1.3025779E7,303.0,650.7507166237673,623.3311881381298,1.0,0.0625
1.302578E7,327.0,730.2462766988355,603.0729245236406,0.24,0.0625
1.3025781E7,311.0,725.4052977526171,599.3037187453679,0.45,0.0625
1.3025782E7,291.0,700.4806082331052,585.8193850735971,0.32,0.0625
1.3025783E7,286.0,873.0502803493509,560.1897869766273,0.15,0.0625
1.3025784E7,273.0,778.2114474141695,537.7821954975622,0.18,0.0625
1.3025785E7,290.0,888.0316963391375,510.893085722684,0.1,0.0625
1.3025786E7,305.0,616.3066489433727,485.9870477937032,0.11,0.0625
1.3025787E7,278.0,573.9548838625404,461.0802115942759,0.09,0.0625
1.3025788E7,285.0,703.1038078106158,437.4498507500693,0.09,0.0625
1.3025789E7,302.0,557.606975321323,419.9518567200665,0.18,0.0625
1.302579E7,310.0,468.06634800282933,398.42932406316305,0.09,0.0625
1.3025791E7,293.0,433.2821563597236,377.0137478947681,0.07,0.0625
1.3025792E7,317.0,429.57337805009524,359.57686205463506,0.13,0.0625
1.3025793E7,315.0,693.393141777665,346.54220080515455,0.21,0.0625
1.3025794E7,300.0,730.5193585249928,332.68051277294836,0.18,0.0625
1.3025795E7,285.0,492.9359199388013,316.46233777526714,0.11,0.0625
1.3025796E7,300.0,503.2321372750585,303.4082663420374,0.17,0.0625
1.3025797E7,303.0,379.6219390288244,290.5134150225008,0.16,0.0625
1.3025798E7,298.0,381.7636934680067,279.2560201903789,0.19,0.0625
1.3025799E7,278.0,307.5447258509936,267.03856930704984,0.15,0.0625
1.30258E7,295.0,296.96792164776775,260.6964032860074,0.31,0.0625
1.3025801E7,311.0,377.2670469209763,257.1118277408248,0.39,0.0625
1.3025802E7,309.0,285.8228889142052,251.00542183198021,0.31,0.0625
1.3025803E7,296.0,291.7762293316438,244.7302862861807,0.3,0.0625
1.3025804E7,293.0,299.78892760465465,236.77655198187983,0.24,0.0625
1.3025805E7,268.0,287.00131670640496,228.7853433524914,0.23,0.0625
1.3025806E7,282.0,287.76244729488917,220.49187465596358,0.21,0.0625
1.3025807E7,294.0,331.25051579100625,214.70396294624453,0.29,0.0625
1.3025808E7,299.0,293.6287746126627,210.67826364100245,0.35,0.0625
1.3025809E7,302.0,283.05262353381863,204.62126356132362,0.27,0.0625
1.302581E7,291.0,226.97647473220042,198.22684907503225,0.25,0.0625
1.3025811E7,301.0,335.4167079447627,192.0322600414375,0.25,0.0625
1.3025812E7,305.0,222.7739545392184,185.551171265039,0.23,0.0625
1.3025813E7,286.0,232.57441434214948,183.6956595523886,0.42,0.0625
1.3025814E7,291.0,225.81793269255596,179.79212678690035,0.33,0.0625
1.3025815E7,315.0,215.58532770918472,177.54472520206411,0.4,0.0625
1.3025816E7,278.0,222.95070409478538,173.54996888501768,0.32,0.0625
1.3025817E7,296.0,226.16099382521176,167.47571997404205,0.22,0.0625
1.3025818E7,307.0,218.99230463920838,161.82341442491813,0.23,0.0625
1.3025819E7,307.0,185.49947703289604,157.98010833232632,0.31,0.0625
1.302582E7,286.0,195.59030784519214,155.0179813010952,0.35,0.0625
1.3025821E7,330.0,276.3569732820238,152.30516662832605,0.36,0.0625
1.3025822E7,302.0,271.41282425485576,150.21097058718655,0.39,0.0625
1.3025823E7,302.0,173.5339761140914,144.95358661663502,0.22,0.0625
1.3025824E7,322.0,175.41289209814198,141.14855496794834,0.29,0.0625
1.3025825E7,290.0,172.2609872871909,136.73766262519996,0.25,0.0625
1.3025826E7,315.0,622.6568097235511,133.83198729441446,0.33,0.0625
1.3025827E7,297.0,177.35320565784917,130.4861876120541,0.3,0.0625
1.3025828E7,303.0,201.1817897769872,126.8978174527226,0.28,0.0625
1.3025829E7,307.0,247.7008989677419,122.45639384187731,0.22,0.0625
1.302583E7,318.0,153.53487403234325,117.86427907280692,0.2,0.0625
1.3025831E7,281.0,144.49729787070933,115.06500244482775,0.31,0.0625
1.3025832E7,307.0,127.55788445511011,112.47603988981913,0.32,0.0625
1.3025833E7,296.0,128.77043883013314,109.10175869312455,0.26,0.0625
1.3025834E7,295.0,120.07289776380124,106.51059192416284,0.31,0.0625
1.3025835E7,305.0,129.85986440696783,104.38038008567958,0.34,0.0625
1.3025836E7,316.0,124.74834995676848,102.94514985950148,0.39,0.0625
1.3025837E7,265.0,127.86590329841857,100.75756542498708,0.33,0.0625
1.3025838E7,318.0,132.69075394265312,97.35699759189377,0.23,0.0625
1.3025839E7,293.0,225.2115005975759,94.55798391112683,0.27,0.0625
1.302584E7,330.0,209.0208981724643,92.31223179323756,0.31,0.0625
1.3025841E7,284.0,115.83557777781502,90.23520657788971,0.32,0.0625
1.3025842E7,298.0,115.27500473103858,88.65609046277665,0.36,0.0625
1.3025843E7,329.0,113.40841207010426,86.66132842736417,0.32,0.0625
1.3025844E7,293.0,111.58142894972853,84.81977519828268,0.33,0.0625
1.3025845E7,288.0,143.76809175852466,83.01735497531918,0.33,0.0625
1.3025846E7,321.0,111.44977908381941,80.00797585746386,0.21,0.0625
1.3025847E7,316.0,104.52111618881847,78.10778643084909,0.31,0.0625
1.3025848E7,303.0,102.45733492597223,77.13143910046348,0.4,0.0625
1.3025849E7,312.0,103.04045743499378,75.39598172070306,0.32,0.0625
1.302585E7,310.0,122.03277366539821,73.98230706343988,0.35,0.0625
1.3025851E7,303.0,114.44373358905038,72.68761668982968,0.36,0.0625
1.3025852E7,297.0,99.49360531025256,72.5058976481051,0.48,0.0625
1.3025853E7,284.0,92.73303259294342,71.5995739275038,0.4,0.0625
1.3025854E7,318.0,93.9314135378794,70.43608085118186,0.37,0.0625
1.3025855E7,323.0,95.1136712095741,69.64367494160606,0.41,0.0625
1.3025856E7,315.0,96.94706071675645,68.42491063012797,0.36,0.0625
1.3025857E7,300.0,91.55315906317104,67.05641241752541,0.34,0.0625
1.3025858E7,300.0,80.59581334036486,70.24159200735787,0.88,0.0625
1.3025859E7,286.0,93.14056173892415,69.3635721072659,0.4,0.0625
1.302586E7,279.0,94.04913609258239,68.66993638619324,0.42,0.0625
1.3025861E7,280.0,92.03098830703868,67.38237507895212,0.35,0.0625
1.3025862E7,297.0,97.36581032402215,65.69781570197831,0.3,0.0625
1.3025863E7,281.0,90.33064637488144,64.95871527533106,0.41,0.0625
1.3025864E7,316.0,92.43180148736592,64.47152491076608,0.44,0.0625
1.3025865E7,296.0,86.829700491649,62.698557975720014,0.28,0.0625
1.3025866E7,306.0,86.38107085062049,61.52296001367526,0.35,0.0625
1.3025867E7,316.0,71.1541628715573,65.36814501452996,1.0,0.0625
1.3025868E7,296.0,83.91775327167399,64.14249229550752,0.35,0.0625
1.3025869E7,315.0,87.97936871982719,63.66142360329122,0.44,0.0625
1.302587E7,308.0,86.61142946197685,62.70650224924185,0.38,0.0625
1.3025871E7,299.0,93.32491171821971,61.37398907644546,0.33,0.0625
1.3025872E7,273.0,81.69225150289832,60.29994426760767,0.36,0.0625
1.3025873E7,326.0,87.7658039044641,59.39544510359355,0.38,0.0625
1.3025874E7,302.0,80.66295565343805,63.10766042256815,1.0,0.0625
1.3025875E7,307.0,90.40221300366836,61.845507214116786,0.34,0.0625
1.3025876E7,285.0,87.33771107735474,61.690893446081496,0.48,0.0625
1.3025877E7,293.0,81.62207850012439,60.22573472673706,0.31,0.0625
1.3025878E7,333.0,79.73363122911393,59.247066537427585,0.37,0.0625
1.3025879E7,301.0,73.91930793425018,58.80271353839688,0.44,0.0625
1.302588E7,305.0,64.45455976153525,60.1992779849338,0.69,0.0625
1.3025881E7,311.0,99.03667840085718,58.46854874286695,0.27,0.0625
1.3025882E7,305.0,78.94897868376209,57.664606197652525,0.39,0.0625
1.3025883E7,311.0,69.16099426526966,61.26864408500581,1.0,0.0625
1.3025884E7,279.0,87.84229423796548,60.04327120330569,0.34,0.0625
