block,value
1.30255505E7,74.39757957468518
1.30255515E7,36.11032303356862
1.30255525E7,36.02059751402724
1.30255535E7,36.33094837582757
1.30255545E7,35.0810037171754
1.30255555E7,31.944303494954447
1.30255565E7,30.890318767086978
1.30255575E7,34.70347851880566
1.30255585E7,39.083253238738756
1.30255595E7,38.91754990995081
1.30255605E7,36.13623963769887
1.30255615E7,40.63207800019507
1.30255625E7,36.87617700841811
1.30255635E7,37.22959036270081
1.30255645E7,37.04583513556603
1.30255655E7,34.804055336601856
1.30255665E7,39.11507500856981
1.30255675E7,38.93098050599633
1.30255685E7,43.73834066466035
1.30255695E7,40.44769851223991
1.30255705E7,37.541713612876876
1.30255715E7,42.2396395005017
1.30255725E7,40.832029122821524
1.30255735E7,35.93711270097235
1.30255745E7,40.41065228862571
1.30255755E7,40.763138186574864
1.30255765E7,42.690127524245376
1.30255775E7,39.564396119938706
1.30255785E7,36.48977873004801
1.30255795E7,32.866398834062906
1.30255805E7,36.97242441205589
1.30255815E7,36.61191914106461
1.30255825E7,32.47623503421572
1.30255835E7,36.55370849020763
1.30255845E7,38.562026906242664
1.30255855E7,33.96810998753781
1.30255865E7,38.17303946305073
1.30255875E7,39.40396351442592
1.30255885E7,34.66671134541173
1.30255895E7,39.05759647168348
1.30255905E7,34.53149163899583
1.30255915E7,30.3068162752265
1.30255925E7,34.11545458013973
1.30255935E7,34.57992574828286
1.30255945E7,33.413233595127465
1.30255955E7,35.05880178310532
1.30255965E7,32.01954161309079
1.30255975E7,35.992597728535074
1.30255985E7,40.44037179998614
1.30255995E7,41.861236969123006
1.30256005E7,39.99367280516465
1.30256015E7,42.094398343294685
1.30256025E7,41.54907631034521
1.30256035E7,36.52035740586743
1.30256045E7,41.10443047873548
1.30256055E7,46.17784215053354
1.30256065E7,41.09989599657839
1.30256075E7,46.25478962597069
1.30256085E7,40.55715272518637
1.30256095E7,41.14199253508055
1.30256105E7,38.726687503394004
1.30256115E7,37.89737789449039
1.30256125E7,41.72803261471793
1.30256135E7,39.112677832157324
1.30256145E7,44.01682903341627
1.30256155E7,43.772792543368965
1.30256165E7,nan
1.30256175E7,34.2333095358167
1.30256185E7,38.462745107895785
1.30256195E7,43.23723145323665
1.30256205E7,38.208685890331964
1.30256215E7,41.369856243348046
1.30256225E7,40.020456242626466
1.30256235E7,44.15197685990483
1.30256245E7,43.4187245636644
1.30256255E7,48.758363469379994
1.30256265E7,43.042286850916994
1.30256275E7,41.288523198244754
1.30256285E7,38.9857153895272
1.30256295E7,43.86766459717408
1.30256305E7,39.10360965732144
1.30256315E7,40.52449712241606
1.30256325E7,38.29154933001562
1.30256335E7,43.04976129520124
1.30256345E7,48.36668220070236
1.30256355E7,44.74931621657625
1.30256365E7,39.425088881233116
1.30256375E7,44.36454447376425
1.30256385E7,41.87603315184038
1.30256395E7,47.16659965259227
1.30256405E7,42.66295840766563
1.30256415E7,47.99793452692656
1.30256425E7,44.33133869326669
1.30256435E7,46.20338629132482
1.30256445E7,45.86462743315404
1.30256455E7,45.45141084632096
1.30256465E7,45.788422521563724
1.30256475E7,41.565669147665695
1.30256485E7,40.479267012604325
1.30256495E7,45.51382984270459
1.30256505E7,40.64089156702027
1.30256515E7,45.41843717124012
1.30256525E7,41.710686071191255
1.30256535E7,39.42631251606697
1.30256545E7,44.346927826015396
1.30256555E7,41.8380564573909
1.30256565E7,44.18638075274436
1.30256575E7,41.207034794105425
1.30256585E7,38.514355579334556
1.30256595E7,43.28760396797352
1.30256605E7,44.14998559602529
1.30256615E7,40.45661664883061
1.30256625E7,45.5067629561474
1.30256635E7,42.49162457941244
1.30256645E7,42.974962751492534
1.30256655E7,40.481951911411386
1.30256665E7,45.477759400035644
1.30256675E7,40.81562887107462
1.30256685E7,45.84972804397005
1.30256695E7,40.81394530156957
1.30256705E7,39.903854535419036
1.30256715E7,nan
1.30256725E7,31.69257056033797
1.30256735E7,35.62191599043852
1.30256745E7,39.978269709716365
1.30256755E7,36.91598098997353
1.30256765E7,35.54071471736336
1.30256775E7,39.98850365753859
1.30256785E7,35.89488331568166
1.30256795E7,35.16112400555322
1.30256805E7,33.34153362809572
1.30256815E7,37.50255506628327
1.30256825E7,35.19424515624694
1.30256835E7,39.581794612333496
1.30256845E7,43.03347504390094
1.30256855E7,39.5326673459589
1.30256865E7,34.950424952290106
1.30256875E7,31.518330640173463
1.30256885E7,35.452781763369465
1.30256895E7,39.90514714805084
1.30256905E7,43.34286499915487
1.30256915E7,38.076457319462556
1.30256925E7,39.563744433196426
1.30256935E7,37.851568780792725
1.30256945E7,36.42384240473255
1.30256955E7,40.79293123294322
1.30256965E7,37.65927637078674
1.30256975E7,36.61469539816523
1.30256985E7,35.35125220118272
1.30256995E7,39.822589376204476
1.30257005E7,nan
1.30257015E7,33.1460084474239
1.30257025E7,37.255704385706814
1.30257035E7,38.15411148627385
1.30257045E7,36.92023956969653
1.30257055E7,39.66045610279534
1.30257065E7,36.286963796864676
1.30257075E7,40.77105338202781
1.30257085E7,35.958209340339295
1.30257095E7,31.52442922099839
1.30257105E7,35.455765725423085
1.30257115E7,32.48720447774353
1.30257125E7,36.58107625999417
1.30257135E7,37.47668255643115
1.30257145E7,35.85748164290675
1.30257155E7,31.45921471907486
1.30257165E7,35.36449439520152
1.30257175E7,35.532033086955636
1.30257185E7,36.051185378315076
1.30257195E7,32.91238773768435
1.30257205E7,36.999441652393095
1.30257215E7,34.65925813288064
1.30257225E7,38.841214836469405
1.30257235E7,34.34595241198484
1.30257245E7,32.34103971863346
1.30257255E7,36.380988774274314
1.30257265E7,nan
1.30257275E7,28.179996896759107
1.30257285E7,31.69182290123519
1.30257295E7,35.70743940004727
1.30257305E7,31.578310518034023
1.30257315E7,30.58338991060085
1.30257325E7,33.1346769548045
1.30257335E7,29.25968505119449
1.30257345E7,32.84790393172429
1.30257355E7,32.392090106572596
1.30257365E7,29.275631736171242
1.30257375E7,32.942349230289935
1.30257385E7,37.059592845225886
1.30257395E7,41.69479281229799
1.30257405E7,46.9073130376101
1.30257415E7,52.76361074520805
1.30257425E7,59.360660141324914
1.30257435E7,66.77876466605989
1.30257445E7,nan
1.30257455E7,65.7320807164087
1.30257465E7,73.9375179944482
1.30257475E7,83.16939509599165
1.30257485E7,93.5671973242834
1.30257495E7,105.24435614672154
1.30257505E7,118.39452675454207
1.30257515E7,133.19131751991117
1.30257525E7,149.8318308084883
1.30257535E7,168.51225159197108
1.30257545E7,189.60038118583577
1.30257555E7,213.27652131270582
1.30257565E7,239.86202203351166
1.30257575E7,269.87969088978735
1.30257585E7,303.58980420341703
1.30257595E7,341.53544036023504
1.30257605E7,384.2167150800961
1.30257615E7,432.2783394902056
1.30257625E7,486.1716840219219
1.30257635E7,546.9093856361275
1.30257645E7,615.2846548284293
1.30257655E7,692.2380013641205
1.30257665E7,778.5749209802402
1.30257675E7,840.1974643368486
1.30257685E7,755.9093076235815
1.30257695E7,831.1975656372263
1.30257705E7,788.3131374626169
1.30257715E7,696.3257835748632
1.30257725E7,753.2978359780714
1.30257735E7,678.2689726887518
1.30257745E7,612.4495979411759
1.30257755E7,618.4832306860244
1.30257765E7,696.1300759452478
1.30257775E7,782.6346920019387
1.30257785E7,700.6203767446848
1.30257795E7,619.8942940300857
1.30257805E7,574.4903449370319
1.30257815E7,529.5769164592972
1.30257825E7,480.922074178883
1.30257835E7,437.39701319520634
1.30257845E7,390.32431381932287
1.30257855E7,348.8249095393782
1.30257865E7,313.8028657715386
1.30257875E7,308.4758145612416
1.30257885E7,280.3636289943198
1.30257895E7,265.45185514312294
1.30257905E7,239.43975725587669
1.30257915E7,212.2909576820422
1.30257925E7,195.615948550204
1.30257935E7,180.58174012248443
1.30257945E7,174.05202105165182
1.30257955E7,151.841622220856
1.30257965E7,160.7686823831057
1.30257975E7,147.42919165828224
1.30257985E7,140.79689219083915
1.30257995E7,125.10590005752496
1.30258005E7,126.66696676606539
1.30258015E7,123.76070303765427
1.30258025E7,110.49804440751166
1.30258035E7,111.06452986113065
1.30258045E7,116.87732027773876
1.30258055E7,109.99560126792909
1.30258065E7,117.58201263017475
1.30258075E7,103.22772716657333
1.30258085E7,101.99396639713856
1.30258095E7,96.39133623617457
1.30258105E7,96.92029712595655
1.30258115E7,93.11815419170037
1.30258125E7,86.64236742068678
1.30258135E7,90.76095955718476
1.30258145E7,81.84012292734198
1.30258155E7,74.50164299339602
1.30258165E7,76.17874197345057
1.30258175E7,85.04273659155147
1.30258185E7,76.68948071460713
1.30258195E7,78.50718601581333
1.30258205E7,76.54525555055078
1.30258215E7,69.31538363165878
1.30258225E7,69.95789249285018
1.30258235E7,63.227252056826835
1.30258245E7,68.64611514796353
1.30258255E7,64.99765035639568
1.30258265E7,72.21002826877839
1.30258275E7,65.38259217773468
1.30258285E7,58.61142869086436
1.30258295E7,59.6004662543007
1.30258305E7,63.89461520530265
1.30258315E7,59.70608206854909
1.30258325E7,60.82239879386139
1.30258335E7,55.2392683651895
1.30258345E7,58.670622019464695
1.30258355E7,65.9465844804217
1.30258365E7,74.18586107780816
1.30258375E7,69.49405342996876
1.30258385E7,74.69982262274021
1.30258395E7,68.80343413836786
1.30258405E7,66.12214130721036
1.30258415E7,nan
1.30258425E7,61.16455867924435
1.30258435E7,64.5396271148046
1.30258445E7,61.708751085355324
1.30258455E7,60.2782222834162
1.30258465E7,60.571882204215
1.30258475E7,61.879185877103
1.30258485E7,59.62587240623202
1.30258495E7,59.61773023281552
1.30258505E7,61.00353776868091
1.30258515E7,67.54677742647223
1.30258525E7,64.71023212832398
1.30258535E7,56.958191811843484
1.30258545E7,57.39877869664938
1.30258555E7,54.102049738151216
1.30258565E7,60.77427843843307
1.30258575E7,57.34000436389535
1.30258585E7,53.033735728
1.30258595E7,46.505330768551445
1.30258605E7,52.33709468273783
1.30258615E7,51.534126410633924
1.30258625E7,48.77952701236762
1.30258635E7,50.1257444778952
1.30258645E7,46.67261682322253
1.30258655E7,52.52724099796253
1.30258665E7,50.19646855694951
1.30258675E7,49.43215088906731
1.30258685E7,55.58274308208548
1.30258695E7,60.53313039847284
1.30258705E7,54.49757586290064
1.30258715E7,49.31092222102798
1.30258725E7,55.48036439939714
1.30258735E7,51.33687913936992
1.30258745E7,53.12035622370671
1.30258755E7,52.50033532976172
1.30258765E7,56.11148807829998
1.30258775E7,55.1631365941863
1.30258785E7,52.92548107005411
1.30258795E7,50.912977316462
1.30258805E7,54.3025348982811
1.30258815E7,48.5002171878159
1.30258825E7,54.49882722907726
1.30258835E7,49.98038165867119
1.30258845E7,56.2560541565388
1.30258855E7,54.447861326775026
1.30258865E7,49.74920798323505
