block,value
1.30255505E7,99.87544632392286
1.30255515E7,57.10285038834369
1.30255525E7,57.05158383466668
1.30255535E7,41.4183677735565
1.30255545E7,57.69891825177189
1.30255555E7,61.15948782366761
1.30255565E7,43.518124382988425
1.30255575E7,62.00735616794992
1.30255585E7,52.287116307878584
1.30255595E7,47.95944153030309
1.30255605E7,52.765875666584314
1.30255615E7,54.13510873354105
1.30255625E7,46.9588882312626
1.30255635E7,50.825201400146156
1.30255645E7,53.061982735007135
1.30255655E7,41.96705017170311
1.30255665E7,55.59022231621506
1.30255675E7,53.57185628051391
1.30255685E7,52.58760976053723
1.30255695E7,46.03417661146854
1.30255705E7,52.25125651374839
1.30255715E7,59.790193253878805
1.30255725E7,55.16502325759058
1.30255735E7,47.92158718674345
1.30255745E7,54.532626556890776
1.30255755E7,59.79517953124276
1.30255765E7,52.843206868440426
1.30255775E7,42.89455083677524
1.30255785E7,51.030754472465034
1.30255795E7,42.483125718817845
1.30255805E7,47.10816016309713
1.30255815E7,48.72030661023009
1.30255825E7,93.21098141931037
1.30255835E7,48.34815276863207
1.30255845E7,47.35400140875395
1.30255855E7,42.85550939102685
1.30255865E7,51.0570449159474
1.30255875E7,47.77495510993788
1.30255885E7,45.54133551294329
1.30255895E7,56.7387014785976
1.30255905E7,46.029083333333325
1.30255915E7,46.87298580810445
1.30255925E7,52.59668799306791
1.30255935E7,47.13936247725551
1.30255945E7,44.43943199991376
1.30255955E7,47.8076295777795
1.30255965E7,36.43283166660941
1.30255975E7,54.18462033173469
1.30255985E7,64.73524914322228
1.30255995E7,51.86241012097477
1.30256005E7,51.36033286627409
1.30256015E7,63.7797906488683
1.30256025E7,51.93417060589344
1.30256035E7,55.22226820813805
1.30256045E7,68.4318628702079
1.30256055E7,143.28704721372924
1.30256065E7,52.39210373324938
1.30256075E7,74.54311472125414
1.30256085E7,49.71336033612292
1.30256095E7,52.78306153334245
1.30256105E7,41.65037956915114
1.30256115E7,53.94490875967396
1.30256125E7,58.369202823247214
1.30256135E7,55.11930339046134
1.30256145E7,65.1014433657518
1.30256155E7,53.43432933278976
1.30256165E7,0
1.30256175E7,43.450043918054625
1.30256185E7,49.64862481021179
1.30256195E7,51.337843609565496
1.30256205E7,42.68406966806963
1.30256215E7,60.091573483646954
1.30256225E7,50.502142807803835
1.30256235E7,67.67497415136064
1.30256245E7,56.545030178600605
1.30256255E7,60.5994535229182
1.30256265E7,49.68292931097665
1.30256275E7,71.5944314187076
1.30256285E7,55.12991926115081
1.30256295E7,59.287879275227965
1.30256305E7,47.35818250720577
1.30256315E7,50.450362533058865
1.30256325E7,54.02997212749855
1.30256335E7,67.66581006319961
1.30256345E7,64.91045770709117
1.30256355E7,68.61681931859638
1.30256365E7,61.93377461016449
1.30256375E7,70.15010654742503
1.30256385E7,63.84473816773377
1.30256395E7,64.77327128757672
1.30256405E7,60.152715815139906
1.30256415E7,64.99672082549964
1.30256425E7,52.20503080585793
1.30256435E7,63.34064723930117
1.30256445E7,59.80317939116825
1.30256455E7,63.45464449997634
1.30256465E7,57.05350596004116
1.30256475E7,73.23675633406734
1.30256485E7,49.007914317968996
1.30256495E7,57.280482448232696
1.30256505E7,56.54949531116728
1.30256515E7,53.994458281287436
